newParticles,particles
1577.0890165485089,1232
1577.0890165485089,45
1577.0290684813258,1434
1576.967042934851,377
1576.8940871936184,852
1576.8925395833094,1438
1576.8463445542004,1080
1410.2891667192443,882
1410.1779340843211,581
1410.1779340843211,515
1410.1779340843211,1466
1409.83682132161,1428
1409.83682132161,626
1330.0484935590412,1084
1329.9039056810457,874
1329.9039056810457,740
1329.8023349650632,1410
1170.9140871425104,103
1170.9140871425104,319
1170.8198056728547,796
1170.8198056728547,363
1170.738408114496,342
1170.6860459949214,884
1170.683483489695,770
1170.5814547140108,703
1170.5814547140108,798
1170.47488630571,1524
1170.47488630571,364
1170.47488630571,950
1170.4020583317927,182
1170.3130646977866,1140
1170.1845614155568,1095
1170.1845614155568,1439
1170.1845614155568,403
1014.112788719596,348
1014.112788719596,480
1014.112788719596,1204
1014.0350851521229,358
1013.7601352651214,379
1013.669822102475,1529
1013.669822102475,796
883.9951359686064,1430
836.8158206903602,354
836.8158206903602,880
796.3719477114998,157
796.3599496277952,1081
796.3599496277952,236
796.3470783795232,1577
796.3470783795232,378
796.3470783795232,307
796.2913549868541,994
796.2861825074094,1351
796.2839047028482,250
796.2839047028482,1215
796.2811822095882,31
796.2811822095882,1014
703.1437356953627,837
703.1437356953627,40
703.1437356953627,1332
702.9709942907818,606
702.8562847320915,13
702.7864211350162,1565
467.2435827071572,1207
466.9034025033303,313
307.3463003017317,754
307.32638584639955,1224
307.1579403937776,1299
307.0862336831916,616
307.0850012588856,588
307.0850012588856,98
307.07850867880865,1371
307.07850867880865,467
307.06246417405356,298
306.94608203976856,1487
306.94608203976856,1573
306.94608203976856,1330
306.9345238469864,1391
219.15311111409403,571
219.15225253356564,1582
219.00494720080718,1171
218.96951374313474,1093
218.96951374313474,1118
218.7756076966723,455
218.7730540262327,565
218.7730540262327,101
218.7730413719421,973
40.73351412372075,989
40.23546116525428,150
40.021827267157306,947
40.021827267157306,295
40.021827267157306,586
39.996421282489834,1394
39.923692161218234,1472
39.923692161218234,176
30.97643746784508,326
30.97643746784508,834
30.927383025097303,85
30.877484904710535,1058
30.877484904710535,219
30.877484904710535,422
